"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eif2s2",0.00012753378919486,0.15582950181795,0.869,0.817,1,"EPO_responsive","Eif2s2"
"Ptges3",0.000133105416674333,0.181649900781804,0.846,0.803,1,"EPO_responsive","Ptges3"
"Ndufa3",0.000133654794199087,0.1140866895507,0.948,0.912,1,"EPO_responsive","Ndufa3"
"Dusp3",0.000147377938878719,0.180894845199537,0.279,0.186,1,"EPO_responsive","Dusp3"
"B4galt1",0.000155109269779996,0.18960584396346,0.344,0.249,1,"EPO_responsive","B4galt1"
"Cks1b",0.000160265669320779,0.187748315579568,0.702,0.615,1,"EPO_responsive","Cks1b"
"Bard1",0.000167646930576697,0.152917222936182,0.197,0.128,1,"EPO_responsive","Bard1"
"Ndufb7",0.000184642338400401,0.160764391838769,0.833,0.782,1,"EPO_responsive","Ndufb7"
"Cycs",0.000208131260636666,0.192082204021743,0.81,0.761,1,"EPO_responsive","Cycs"
"Nudcd2",0.0002094322621785,0.213451712024669,0.521,0.454,1,"EPO_responsive","Nudcd2"
"Dnph1",0.000209704165726699,0.215128125155873,0.472,0.399,1,"EPO_responsive","Dnph1"
"Gatm",0.000211375267215528,0.187359741289738,0.23,0.164,1,"EPO_responsive","Gatm"
"Fli1",0.000214348504431891,0.195823993425938,0.57,0.482,1,"EPO_responsive","Fli1"
"Hnrnpa1",0.000214586910499406,0.139030838069681,0.974,0.967,1,"EPO_responsive","Hnrnpa1"
"Wdhd1",0.000215983862044275,0.165424491648636,0.305,0.219,1,"EPO_responsive","Wdhd1"
"Tmem107",0.000221828826412324,0.185967857562068,0.266,0.199,1,"EPO_responsive","Tmem107"
"Usp37",0.000223485868441202,0.194076946623267,0.295,0.212,1,"EPO_responsive","Usp37"
"Srsf7",0.000225503291427758,0.170027381905007,0.826,0.775,1,"EPO_responsive","Srsf7"
"Eif4ebp1",0.000249892164301571,0.197105362053729,0.689,0.622,1,"EPO_responsive","Eif4ebp1"
"Hist1h2ag",0.000287690632882554,0.13318373652931,0.102,0.059,1,"EPO_responsive","Hist1h2ag"
