"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Atp8",2.20720480462523e-31,0.313664312915439,0.628,0.446,2.40717755992427e-27,"Control","mt-Atp8"
"Mecom",3.09058058526564e-21,0.288470931660708,0.618,0.468,3.3705871862907e-17,"Control","Mecom"
"Eef2",3.44949994995763e-20,0.184635036230195,0.996,0.996,3.76202464542379e-16,"Control","Eef2"
"Serinc3",1.57392194552705e-18,0.171185406346193,0.97,0.951,1.7165192737918e-14,"Control","Serinc3"
"Txnip",1.63397854930259e-17,0.238679323209369,0.653,0.505,1.7820170058694e-13,"Control","Txnip"
"Cebpb",4.42942426981147e-17,0.208247429593887,0.276,0.151,4.83073010865639e-13,"Control","Cebpb"
"Aes",4.6366504523311e-16,0.189282813803828,0.839,0.756,5.0567309833123e-12,"Control","Aes"
"Nrgn",5.38215339613626e-15,0.215828760129027,0.751,0.662,5.8697764938262e-11,"Control","Nrgn"
"Jund",6.6091789541081e-15,0.24002038746361,0.413,0.291,7.2079705673503e-11,"Control","Jund"
"Pabpc1",1.14023003005774e-13,0.0966021707383313,0.998,0.997,1.24353487078097e-09,"Control","Pabpc1"
"Bin2",1.22997975181684e-13,0.182610770342263,0.814,0.743,1.34141591733145e-09,"Control","Bin2"
"Ubc",2.24564832147212e-13,0.178961880813261,0.757,0.656,2.4491040593975e-09,"Control","Ubc"
"Car2",3.52758483288464e-13,0.156005045018882,0.961,0.925,3.84718401874399e-09,"Control","Car2"
"Pkm",7.00616779737086e-12,0.15763917449368,0.916,0.887,7.64092659981266e-08,"Control","Pkm"
"H2-D1",9.90079455198311e-12,0.129210153535764,0.985,0.985,1.07978065383928e-07,"Control","H2-D1"
"Sqstm1",1.25439864650477e-11,0.217884484735445,0.522,0.417,1.3680471638781e-07,"Control","Sqstm1"
"Cbx6",2.33220791011444e-11,0.17389908289962,0.502,0.378,2.54350594677081e-07,"Control","Cbx6"
"Gnai2",3.16138732663617e-11,0.143695862928092,0.892,0.836,3.4478090184294e-07,"Control","Gnai2"
"Trim28",5.01178568702793e-11,0.167173762507865,0.616,0.514,5.46585347027266e-07,"Control","Trim28"
"Snhg9",6.08292660700352e-11,0.178293120374044,0.407,0.301,6.63403975759804e-07,"Control","Snhg9"
"Nmt1",6.72935992399382e-11,0.168895960359519,0.523,0.42,7.33903993310766e-07,"Control","Nmt1"
"Mknk2",1.06344664970534e-10,0.172215612443152,0.454,0.343,1.15979491616864e-06,"Control","Mknk2"
"Tln1",1.29878524656095e-10,0.149820943190558,0.792,0.714,1.41645518989938e-06,"Control","Tln1"
"Hcls1",1.54258622089323e-10,0.155718247721993,0.56,0.442,1.68234453250615e-06,"Control","Hcls1"
"Laptm5",1.79658928281826e-10,0.128909321830918,0.906,0.855,1.9593602718416e-06,"Control","Laptm5"
"Neat1",3.24397817929604e-10,0.193806545089921,0.543,0.438,3.53788260234026e-06,"Control","Neat1"
"Ptp4a2",4.46281567573342e-10,0.1349669754433,0.797,0.709,4.86714677595487e-06,"Control","Ptp4a2"
"Sipa1",7.66527215514871e-10,0.152894889372983,0.405,0.301,8.35974581240518e-06,"Control","Sipa1"
"Zfp687",1.09172010928536e-09,0.148847861866972,0.175,0.103,1.19062995118661e-05,"Control","Zfp687"
"Gltscr2",1.38747699403942e-09,0.128380245603406,0.907,0.859,1.51318240969939e-05,"Control","Gltscr2"
"Dpf2",1.6876951241842e-09,0.138594712075734,0.488,0.377,1.84060030243529e-05,"Control","Dpf2"
"Meis1",2.24723915193892e-09,0.158322583406131,0.82,0.754,2.45083901910458e-05,"Control","Meis1"
"Itgb3",3.00921249222458e-09,0.161327774493984,0.491,0.386,3.28184714402012e-05,"Control","Itgb3"
"Ypel3",3.07950007069146e-09,0.154346310676929,0.716,0.613,3.35850277709611e-05,"Control","Ypel3"
"Cxxc5",3.27378048117718e-09,0.15589625667798,0.605,0.512,3.57038499277183e-05,"Control","Cxxc5"
"Mtch1",3.27749367730187e-09,0.161950739575103,0.57,0.482,3.57443460446541e-05,"Control","Mtch1"
"Ccnd3",3.46845275956088e-09,0.122312974729921,0.786,0.704,3.78269457957709e-05,"Control","Ccnd3"
"Rcc2",3.93565453511169e-09,0.141033728060252,0.703,0.612,4.29222483599281e-05,"Control","Rcc2"
"Cd27",4.36304248496502e-09,0.148406286193722,0.66,0.558,4.75833413410285e-05,"Control","Cd27"
"Ehmt2",5.03563570786537e-09,0.142420738683652,0.278,0.184,5.49186430299797e-05,"Control","Ehmt2"
"Otulin",5.54057594272366e-09,0.15910104388637,0.348,0.261,6.04255212313443e-05,"Control","Otulin"
"Plek",8.31941149493752e-09,0.161513508071246,0.468,0.368,9.07315017637886e-05,"Control","Plek"
"Plekho2",8.57338001107399e-09,0.14998319085685,0.244,0.166,9.35012824007729e-05,"Control","Plekho2"
"Irgm1",8.93189912309218e-09,0.15157323185924,0.252,0.164,9.74112918364433e-05,"Control","Irgm1"
"Gtf2i",1.22587699200484e-08,0.124737201007717,0.489,0.378,0.000133694144748048,"Control","Gtf2i"
"Rasal3",1.36037698447031e-08,0.148852980687063,0.371,0.276,0.000148362713926332,"Control","Rasal3"
"Smad7",1.42132079951999e-08,0.208489972483687,0.393,0.307,0.00015500924639565,"Control","Smad7"
"Twf2",1.54601573071712e-08,0.14112565514093,0.397,0.296,0.000168608475592009,"Control","Twf2"
"Prr13",1.57095440850049e-08,0.155789544623652,0.772,0.698,0.000171328287791063,"Control","Prr13"
"Nfic",1.5783423456774e-08,0.158716382286789,0.612,0.524,0.000172134016219577,"Control","Nfic"
"H3f3b",2.06195932054398e-08,0.0641925470960611,1,1,0.000224877283498527,"Control","H3f3b"
"Ctnnb1",2.29585272052571e-08,0.150758660181605,0.538,0.443,0.000250385697700533,"Control","Ctnnb1"
"Mgat4b",2.31708259365471e-08,0.141566128477358,0.255,0.175,0.000252701027663983,"Control","Mgat4b"
"Txlna",2.4814559917481e-08,0.139334885454664,0.44,0.343,0.000270627590460048,"Control","Txlna"
"Ctdsp2",2.80933644568326e-08,0.135829290608007,0.335,0.242,0.000306386232766216,"Control","Ctdsp2"
"Eng",3.43224953926613e-08,0.145195039624793,0.418,0.323,0.000374321134752364,"Control","Eng"
"Stard10",3.46809066923669e-08,0.148518369294453,0.361,0.268,0.000378229968386953,"Control","Stard10"
"Pitpnm1",3.79833504627717e-08,0.106942347393717,0.13,0.071,0.000414246420146988,"Control","Pitpnm1"
"Maz",3.96722184095697e-08,0.139178802781144,0.64,0.557,0.000432665213974767,"Control","Maz"
"Rnf19b",4.83971974647041e-08,0.13347313936287,0.152,0.093,0.000527819835550062,"Control","Rnf19b"
"Csnk1d",5.60265194510904e-08,0.138874291696165,0.359,0.275,0.000611025221133592,"Control","Csnk1d"
"Ppt1",5.85740178244593e-08,0.142543317844487,0.426,0.331,0.000638808238393554,"Control","Ppt1"
"Ankrd13a",6.16215219016017e-08,0.143444477726341,0.746,0.68,0.000672044317858868,"Control","Ankrd13a"
"Coro1a",6.52015842344879e-08,0.115715187048711,0.896,0.861,0.000711088477661325,"Control","Coro1a"
"Arhgef40",8.40911407249544e-08,0.131285655225445,0.232,0.158,0.000917097980746353,"Control","Arhgef40"
"Rel",8.41126174363363e-08,0.138587990574726,0.219,0.145,0.000917332205760684,"Control","Rel"
"F11r",8.57031046332675e-08,0.128176108013245,0.444,0.342,0.000934678059130415,"Control","F11r"
"Cabin1",9.18850109076499e-08,0.126077431819804,0.255,0.177,0.00100209792895883,"Control","Cabin1"
"Wdr26",1.22171168581477e-07,0.127445436233604,0.647,0.559,0.00133239876454959,"Control","Wdr26"
"Klf10",1.22654788602923e-07,0.175868910856101,0.328,0.247,0.00133767312450348,"Control","Klf10"
"Hnrnpm",1.37667442493686e-07,0.127741397308544,0.771,0.711,0.00150140112783613,"Control","Hnrnpm"
"Pabpn1",1.57762676810714e-07,0.131504026915312,0.39,0.298,0.00172055975329764,"Control","Pabpn1"
"Limd2",1.61894098613449e-07,0.105601291848793,0.803,0.724,0.00176561703947827,"Control","Limd2"
"Ttyh3",1.66918666434595e-07,0.127605985742445,0.34,0.246,0.0018204149761357,"Control","Ttyh3"
"Rab14",1.68644251900645e-07,0.120660342499811,0.735,0.651,0.00183923421122843,"Control","Rab14"
"Rbm4b",1.89252425765128e-07,0.12793429133075,0.581,0.48,0.00206398695539449,"Control","Rbm4b"
"Sf3b2",2.13920739535584e-07,0.139069933124403,0.763,0.705,0.00233301958537508,"Control","Sf3b2"
"Cxxc1",2.20975726648027e-07,0.112664841703217,0.295,0.208,0.00240996127482338,"Control","Cxxc1"
"Gpi1",2.34231004022084e-07,0.113505174077167,0.843,0.788,0.00255452332986485,"Control","Gpi1"
"Mcl1",2.37448344735416e-07,0.133347073452686,0.375,0.29,0.00258961164768445,"Control","Mcl1"
"Adgrg1",2.61454950239201e-07,0.109123169689392,0.914,0.869,0.00285142768730873,"Control","Adgrg1"
"Aldh2",3.05063510809949e-07,0.105947084230934,0.845,0.788,0.0033270226488933,"Control","Aldh2"
"Serpina3g",3.16131576667566e-07,0.252141570742347,0.408,0.33,0.00344773097513647,"Control","Serpina3g"
"Wdr89",3.37021247748e-07,0.0629701140569372,0.999,0.998,0.00367555372793969,"Control","Wdr89"
"Malat1",3.62512172247206e-07,0.0648654590858158,1,1,0.00395355775052802,"Control","Malat1"
"Plec",3.87400986235129e-07,0.110800886793219,0.473,0.369,0.00422499515588031,"Control","Plec"
"Fam134a",4.01520855045462e-07,0.127880011703675,0.414,0.328,0.00437898644512581,"Control","Fam134a"
"Pdzk1ip1",4.16147641490549e-07,0.124056785847816,0.689,0.605,0.00453850617809593,"Control","Pdzk1ip1"
"Eef1a1",4.38377775907368e-07,0.0635882492008255,1,1,0.00478094802404575,"Control","Eef1a1"
"Senp6",4.70859184682963e-07,0.118650337797297,0.5,0.405,0.00513519026815239,"Control","Senp6"
"Dtx3",5.3048952500025e-07,0.111871896959096,0.355,0.261,0.00578551875965272,"Control","Dtx3"
"Fam168b",5.45860017762647e-07,0.132565199535141,0.453,0.369,0.00595314935371942,"Control","Fam168b"
"Rbm22",5.69787471204733e-07,0.123869082083829,0.52,0.432,0.00621410216095882,"Control","Rbm22"
"Alyref",5.69855332304446e-07,0.133920566076119,0.518,0.437,0.00621484225411229,"Control","Alyref"
"Abcf1",6.69426189052908e-07,0.111645995694776,0.552,0.464,0.00730076201781101,"Control","Abcf1"
"Emilin1",6.8849612747934e-07,0.110279103309627,0.391,0.293,0.00750873876628969,"Control","Emilin1"
"Rgs2",7.19576850266427e-07,0.127879541266178,0.556,0.447,0.00784770512900566,"Control","Rgs2"
"H2-K1",7.52451337314198e-07,0.102812944225943,0.977,0.973,0.00820623428474864,"Control","H2-K1"
"Pink1",8.06236251497105e-07,0.135241916640019,0.397,0.309,0.00879281255882743,"Control","Pink1"
"Nbr1",8.46883431337407e-07,0.103697951831285,0.187,0.119,0.00923611070216576,"Control","Nbr1"
"Naa15",8.92870031497206e-07,0.133793604024227,0.513,0.435,0.00973764056350853,"Control","Naa15"
"Tap1",9.00514001192113e-07,0.12100835582765,0.354,0.267,0.00982100569700118,"Control","Tap1"
"Ubr2",9.07973497401178e-07,0.128234770337307,0.314,0.233,0.00990235896265725,"Control","Ubr2"
"Prkcd",9.69185245744749e-07,0.115865585562749,0.294,0.214,0.0105699342900922,"Control","Prkcd"
"H1fx",9.91012884900232e-07,0.135418923599772,0.328,0.256,0.0108079865227219,"Control","H1fx"
"Ddit4",1.02959611306255e-06,0.137648510250189,0.3,0.228,0.0112287752090602,"Control","Ddit4"
"Cd151",1.09754872316681e-06,0.118970725212588,0.258,0.181,0.0119698663748572,"Control","Cd151"
"Git2",1.13223406278435e-06,0.12531517331358,0.604,0.523,0.0123481446887261,"Control","Git2"
"Scaf11",1.14653719847764e-06,0.130833008878205,0.6,0.524,0.0125041346865971,"Control","Scaf11"
"Puf60",1.23528772703868e-06,0.130885441542026,0.351,0.275,0.0134720479510839,"Control","Puf60"
"Tmem243",1.32195490163785e-06,0.124578107218454,0.241,0.17,0.0144172401572624,"Control","Tmem243"
"Zyx",1.38859016651767e-06,0.150358881398335,0.546,0.474,0.0151439643560418,"Control","Zyx"
"Tsc22d4",1.4179104840268e-06,0.0911057348227839,0.782,0.706,0.0154637317387963,"Control","Tsc22d4"
"Eif4h",1.45059119705012e-06,0.0995270801807975,0.76,0.686,0.0158201475950286,"Control","Eif4h"
"Ccdc137",1.52830377536044e-06,0.107487237777041,0.185,0.121,0.0166676809740809,"Control","Ccdc137"
"Spen",1.62998578261645e-06,0.126746005181394,0.244,0.173,0.017776624945215,"Control","Spen"
"Ist1",1.68511507363528e-06,0.112041552129781,0.283,0.203,0.0183778649930664,"Control","Ist1"
"Tmem127",1.83978085331376e-06,0.0940450637811568,0.111,0.062,0.0200646499862399,"Control","Tmem127"
"Atp1a1",1.85342259414925e-06,0.107493734449488,0.583,0.493,0.0202134268117918,"Control","Atp1a1"
"Peak1",1.94989176446165e-06,0.115524783346529,0.162,0.108,0.0212655195832188,"Control","Peak1"
"Pura",1.99411675262467e-06,0.128634553637318,0.587,0.506,0.0217478373041246,"Control","Pura"
"Treml2",2.01693761530793e-06,0.13243983427327,0.402,0.322,0.0219967216325483,"Control","Treml2"
"Phf23",2.02313486906375e-06,0.11093958298791,0.291,0.217,0.0220643088820093,"Control","Phf23"
"Brd2",2.23735277290655e-06,0.114894059403408,0.513,0.432,0.0244005693413189,"Control","Brd2"
"Kmt2e",2.24745481999899e-06,0.114885168397967,0.587,0.502,0.024510742266909,"Control","Kmt2e"
"Vps8",2.28065005223952e-06,0.315898050164015,0.149,0.12,0.0248727694697242,"Control","Vps8"
"PISD",2.31150701066338e-06,0.117727767570469,0.721,0.654,0.0252092954582948,"Control","PISD"
"Ppp6r1",2.33199249360999e-06,0.124978906280519,0.238,0.175,0.0254327101353106,"Control","Ppp6r1"
"Arrdc4",2.45287416913783e-06,0.0950173705728412,0.122,0.069,0.0267510456886171,"Control","Arrdc4"
"Sp110",2.62615878806904e-06,0.115415946911091,0.786,0.739,0.0286408877426809,"Control","Sp110"
"Irf2",2.65199041936832e-06,0.12569239653555,0.525,0.443,0.0289226075136309,"Control","Irf2"
"Araf",2.71970424413363e-06,0.0965011373644689,0.305,0.215,0.0296610944865214,"Control","Araf"
"Sh2b3",2.7448557631967e-06,0.118091952556176,0.249,0.171,0.0299353969534232,"Control","Sh2b3"
"Aldoa",2.90667187554474e-06,0.114378145309357,0.924,0.904,0.0317001634746909,"Control","Aldoa"
"Cables2",2.96806519092493e-06,0.0966890132712228,0.164,0.105,0.0323697189722272,"Control","Cables2"
"Chad",3.10682710905655e-06,0.11029047900477,0.197,0.129,0.0338830564513708,"Control","Chad"
"Srebf2",3.12743241732338e-06,0.108151565542982,0.532,0.435,0.0341077779433287,"Control","Srebf2"
"Mpl",3.23082437294546e-06,0.13380473769125,0.583,0.509,0.0352353706113432,"Control","Mpl"
"Gcnt2",3.24954804305271e-06,0.110798924180166,0.577,0.495,0.0354395709575328,"Control","Gcnt2"
"Dctn1",3.44804016186442e-06,0.112205187911543,0.287,0.215,0.0376043260052934,"Control","Dctn1"
"Cdk2ap1",3.47516791189178e-06,0.100482862682289,0.45,0.363,0.0379001812470918,"Control","Cdk2ap1"
"Psap",3.74626554999052e-06,0.0995815285441006,0.58,0.5,0.0408567720881966,"Control","Psap"
"Kmt2a",3.7879746277219e-06,0.103792659405484,0.376,0.287,0.0413116512899351,"Control","Kmt2a"
"Mxd4",3.83241704342253e-06,0.121201849722973,0.355,0.281,0.0417963402755661,"Control","Mxd4"
"Gtpbp2",3.92093637321752e-06,0.128935626161016,0.438,0.365,0.0427617320863102,"Control","Gtpbp2"
"Ptp4a3",4.01800540581369e-06,0.114504430931762,0.819,0.767,0.0438203669558041,"Control","Ptp4a3"
"Epm2aip1",4.30088820249122e-06,0.0974267205600224,0.132,0.08,0.0469054867363693,"Control","Epm2aip1"
"Ppp2ca",4.39218826125526e-06,0.116587455229213,0.481,0.401,0.0479012051772498,"Control","Ppp2ca"
"Irf2bp1",4.43297964853684e-06,0.113928902694728,0.275,0.209,0.0483460760469428,"Control","Irf2bp1"
"Chd3",4.46043827042523e-06,0.117353678560699,0.325,0.242,0.0486455397772575,"Control","Chd3"
"Acox1",4.50753799712764e-06,0.105632186303412,0.23,0.159,0.049159209396674,"Control","Acox1"
"Tspan32",4.901315149625e-06,0.10679710770752,0.746,0.681,0.0534537430218103,"Control","Tspan32"
"St3gal2",4.99017889123754e-06,0.0952906878705932,0.15,0.092,0.0544228909878366,"Control","St3gal2"
"Pbxip1",5.06944038564833e-06,0.0958409593090754,0.17,0.106,0.0552873168458807,"Control","Pbxip1"
"Atxn2l",5.14953521371693e-06,0.123399242860434,0.385,0.312,0.0561608310407968,"Control","Atxn2l"
"Ddx21",5.7888432419675e-06,0.114947091974239,0.723,0.663,0.0631331243968975,"Control","Ddx21"
"Saraf",5.890827096026e-06,0.130557380390161,0.797,0.757,0.0642453603092596,"Control","Saraf"
"Tnks2",5.9610080826002e-06,0.108395103503223,0.246,0.175,0.0650107541488377,"Control","Tnks2"
"Capns1",6.03130934930526e-06,0.10278535197299,0.741,0.68,0.0657774597635232,"Control","Capns1"
"Trim56",6.50583491775311e-06,0.112451716770307,0.377,0.301,0.0709526356130154,"Control","Trim56"
"Bckdha",6.57333036835079e-06,0.100166764375746,0.225,0.153,0.0716887409972337,"Control","Bckdha"
"Mapk3",6.68368403450593e-06,0.116007106403418,0.431,0.351,0.0728922580803217,"Control","Mapk3"
"Polr3c",7.14229234133408e-06,0.107960476558476,0.217,0.158,0.0778938402745895,"Control","Polr3c"
"Ogfrl1",7.29624008228643e-06,0.111274988124714,0.684,0.617,0.0795727943374158,"Control","Ogfrl1"
"Dok2",7.87851129265048e-06,0.10664416046473,0.236,0.167,0.0859230441576461,"Control","Dok2"
"Trim25",8.12713605626266e-06,0.117226644724463,0.623,0.556,0.0886345458296006,"Control","Trim25"
"Hlf",8.15690752156779e-06,0.144712222496699,0.645,0.581,0.0889592334302183,"Control","Hlf"
"Sptan1",8.17571506810993e-06,0.10317264785332,0.228,0.163,0.0891643485328068,"Control","Sptan1"
"Adgrl4",8.24938355001924e-06,0.132804001858192,0.679,0.614,0.0899677769965098,"Control","Adgrl4"
"Tpp1",8.25595783719583e-06,0.111738159806081,0.286,0.213,0.0900394761724578,"Control","Tpp1"
"Rest",8.27209232325625e-06,0.114553751576383,0.425,0.348,0.0902154388774327,"Control","Rest"
"Mfsd4",8.48020772256644e-06,0.0928506457222233,0.118,0.069,0.0924851454223096,"Control","Mfsd4"
"Grn",8.71169172659964e-06,0.111370958713702,0.365,0.291,0.0950097099702957,"Control","Grn"
"Pitpna",9.14821594657515e-06,0.106465494897009,0.527,0.44,0.0997704431133486,"Control","Pitpna"
"Cd1d1",9.83302320721689e-06,0.115811068513036,0.343,0.268,0.107238951097907,"Control","Cd1d1"
"Prkar1a",1.00137777997433e-05,0.098011401672494,0.675,0.6,0.109210260684,"Control","Prkar1a"
"Dctn2",1.02442049998729e-05,0.107674922598681,0.389,0.312,0.111723299728614,"Control","Dctn2"
"Tars2",1.04209836064422e-05,0.0960110073142502,0.195,0.139,0.113651247211858,"Control","Tars2"
"Tgtp2",1.07434920167992e-05,0.0994670988746143,0.105,0.062,0.117168523935212,"Control","Tgtp2"
"Hdac5",1.1196652620685e-05,0.101713818271794,0.23,0.165,0.12211069348119,"Control","Hdac5"
"Cyfip1",1.14551411978602e-05,0.108659339578334,0.29,0.223,0.124929769903864,"Control","Cyfip1"
"Rbm39",1.18901070205383e-05,0.0710275761526304,0.969,0.948,0.12967350716599,"Control","Rbm39"
"Mboat7",1.19189300540773e-05,0.0980568613124829,0.252,0.184,0.129987851169767,"Control","Mboat7"
"Ubtf",1.20352275165809e-05,0.117873168281948,0.611,0.544,0.131256191295832,"Control","Ubtf"
"Sash3",1.21098145965484e-05,0.124634464562013,0.391,0.32,0.132069637989957,"Control","Sash3"
"Rnf220",1.26292581853424e-05,0.11359662042018,0.397,0.325,0.137734689769344,"Control","Rnf220"
"Atp2a3",1.31115357900118e-05,0.113282020853234,0.297,0.231,0.142994409325868,"Control","Atp2a3"
"Cct4",1.34282596352386e-05,0.0941350418869096,0.837,0.785,0.146448599581913,"Control","Cct4"
"Zcchc6",1.36193333121468e-05,0.132991772567273,0.323,0.259,0.148532449102273,"Control","Zcchc6"
"Alox5ap",1.38085851110756e-05,0.0859298808733329,0.863,0.815,0.15059642922139,"Control","Alox5ap"
"Supt5",1.41055945774936e-05,0.106961248178718,0.392,0.321,0.153835614462145,"Control","Supt5"
"Coro1b",1.4600439775747e-05,0.101698555558556,0.504,0.426,0.159232396194297,"Control","Coro1b"
"Map4",1.47719499640028e-05,0.0963839351950948,0.133,0.087,0.161102886307415,"Control","Map4"
"Cd81",1.48613918249263e-05,0.118510594931797,0.832,0.803,0.162078339242647,"Control","Cd81"
"Fhod1",1.52819446622202e-05,0.100430393550939,0.17,0.117,0.166664888486173,"Control","Fhod1"
"Tsc22d2",1.53032690285131e-05,0.114501995175836,0.233,0.175,0.166897452024964,"Control","Tsc22d2"
"Ik",1.5449663632995e-05,0.0871560512559997,0.473,0.385,0.168494031581444,"Control","Ik"
"Ppp1r12a",1.58709392390456e-05,0.116460080531684,0.37,0.298,0.173088463341031,"Control","Ppp1r12a"
"Cnot3",1.60723979936036e-05,0.116421956839787,0.412,0.337,0.175285572518241,"Control","Cnot3"
"Arhgef1",1.65675549267164e-05,0.108314186656114,0.641,0.571,0.180685754030769,"Control","Arhgef1"
"Ccnd2",1.66922275037233e-05,0.109372657501527,0.837,0.787,0.182045433155606,"Control","Ccnd2"
"Pnpla2",1.68709922341177e-05,0.103000182335036,0.239,0.179,0.183995041305287,"Control","Pnpla2"
"Kdm5a",1.70649641602823e-05,0.110504828797567,0.348,0.276,0.186110499132039,"Control","Kdm5a"
"Rnf11",1.78095782924883e-05,0.103674021038393,0.282,0.215,0.194231260857878,"Control","Rnf11"
"Rrp1",1.79547582552227e-05,0.103807730807009,0.619,0.549,0.195814593531459,"Control","Rrp1"
"Ddx5",1.79907560858014e-05,0.0793688512585886,0.95,0.928,0.196207185871751,"Control","Ddx5"
"Eif3j2",1.97048717081767e-05,0.0868793948389564,0.133,0.083,0.214901330849375,"Control","Eif3j2"
"Sdcbp",1.97899751232658e-05,0.0883976547474499,0.811,0.747,0.215829468694337,"Control","Sdcbp"
"Cramp1l",2.0885518421782e-05,0.0887023761868372,0.133,0.087,0.227777463907955,"Control","Cramp1l"
"Susd6",2.26488241190028e-05,0.0892681120046354,0.165,0.106,0.247008075841844,"Control","Susd6"
"Tusc1",2.28200430854172e-05,0.0917028326206992,0.162,0.109,0.24887538988956,"Control","Tusc1"
"Flna",2.32396623310201e-05,0.0933879930638931,0.38,0.297,0.253451757382106,"Control","Flna"
"Btg2",2.3842590559271e-05,0.0976360050352545,0.139,0.094,0.26002729263941,"Control","Btg2"
"Por",2.41229784975876e-05,0.100367695418197,0.42,0.333,0.263085203494691,"Control","Por"
"Larp1b",2.53631591734895e-05,0.0921826301898122,0.162,0.111,0.276610613946076,"Control","Larp1b"
"Gata2",2.54037845294385e-05,0.130468711672317,0.629,0.569,0.277053674078057,"Control","Gata2"
"C1qtnf6",2.54874221626149e-05,0.0776429288785441,0.116,0.069,0.277965826105478,"Control","C1qtnf6"
"Tmem176b",2.57944961334025e-05,0.101937866186946,0.767,0.721,0.281314774830888,"Control","Tmem176b"
"Ulk1",2.62251957506822e-05,0.0878280768047815,0.133,0.083,0.286011984856941,"Control","Ulk1"
"Rfxap",2.63000038340197e-05,0.095123562235482,0.22,0.16,0.286827841813819,"Control","Rfxap"
"Aamp",2.68099746120935e-05,0.0884950015817948,0.597,0.513,0.292389583119492,"Control","Aamp"
"Mlec",2.71088002055099e-05,0.109267961224072,0.705,0.646,0.295648575041291,"Control","Mlec"
"Ankrd11",2.72267872805136e-05,0.116950420140032,0.455,0.383,0.296935342081281,"Control","Ankrd11"
"Ubp1",2.80078134660868e-05,0.107138014336188,0.207,0.155,0.305453213661142,"Control","Ubp1"
"Rnpepl1",2.90905326698789e-05,0.105317946300232,0.294,0.232,0.317261349297699,"Control","Rnpepl1"
"Ube2m",2.96337088903664e-05,0.106246729726162,0.407,0.334,0.323185229158336,"Control","Ube2m"
"Stat3",3.02509854120301e-05,0.0974485766701066,0.341,0.262,0.3299172469036,"Control","Stat3"
"Rfwd2",3.18334520244773e-05,0.102505802017938,0.236,0.178,0.347175627778949,"Control","Rfwd2"
"Ube3a",3.39143056770964e-05,0.110645399499805,0.584,0.513,0.369869417714414,"Control","Ube3a"
"Itpkb",3.4439920773642e-05,0.0972547060449175,0.183,0.128,0.37560177595734,"Control","Itpkb"
"Btk",3.49647771882856e-05,0.0843069158605151,0.312,0.23,0.381325860015443,"Control","Btk"
"Ndufs2",3.51292750073088e-05,0.0941559342821929,0.625,0.545,0.38311987322971,"Control","Ndufs2"
"Pex3",3.70449295453799e-05,0.095894638714652,0.186,0.13,0.404012001621913,"Control","Pex3"
"Madd",3.77529006468037e-05,0.107461668214023,0.573,0.497,0.411733134454042,"Control","Madd"
"Naa35",3.95369526936724e-05,0.10504356389712,0.29,0.223,0.431190006077191,"Control","Naa35"
"Safb",4.0639001937535e-05,0.10638365478597,0.353,0.288,0.443208955130757,"Control","Safb"
"Tab2",4.14785814088635e-05,0.106414603571268,0.358,0.292,0.452365408845065,"Control","Tab2"
"Clk1",4.21830390945026e-05,0.112849007756705,0.55,0.476,0.460048224364646,"Control","Clk1"
"Dbr1",4.28284566753551e-05,0.0878140594037817,0.16,0.11,0.467087148501423,"Control","Dbr1"
"Dync1i2",4.44690394122178e-05,0.0985651926993664,0.565,0.485,0.484979343829648,"Control","Dync1i2"
"Ubn1",4.46546464581125e-05,0.114508921362622,0.516,0.446,0.487003574272175,"Control","Ubn1"
"Zc3h18",4.48100034587022e-05,0.0977500556618844,0.387,0.312,0.488697897720606,"Control","Zc3h18"
"Git1",4.49363453169335e-05,0.0843134933957541,0.159,0.105,0.490075782026476,"Control","Git1"
"Irak1",4.49855142972231e-05,0.107031239968493,0.509,0.447,0.490612018925515,"Control","Irak1"
"Erg",4.55805292316883e-05,0.0971593180920861,0.307,0.232,0.497101251800792,"Control","Erg"
"Ppm1a",4.56595367661157e-05,0.0990584377527753,0.194,0.144,0.497962907971258,"Control","Ppm1a"
"Nfkbia",4.68906708772984e-05,0.0852737907376343,0.397,0.318,0.511389656587817,"Control","Nfkbia"
"Ccdc8",4.6907516439302e-05,0.0942880028994698,0.174,0.122,0.511573374287028,"Control","Ccdc8"
"Arhgef2",4.79245569549677e-05,0.102757943984626,0.532,0.461,0.522665218150878,"Control","Arhgef2"
"Gapdh",5.01394639361594e-05,0.0726717406075865,0.96,0.946,0.546820993687754,"Control","Gapdh"
"Kdm1a",5.05269922411122e-05,0.101368021223491,0.315,0.247,0.551047377381569,"Control","Kdm1a"
"Tle4",5.20104167210377e-05,0.0912102953902954,0.152,0.101,0.567225604759638,"Control","Tle4"
"Ash1l",5.27582361523558e-05,0.0959411636991089,0.495,0.417,0.575381323477592,"Control","Ash1l"
"Grb2",5.38381502321948e-05,0.0903683104323212,0.563,0.482,0.587158866432316,"Control","Grb2"
"Plin2",5.41535185157316e-05,0.0997094614965455,0.237,0.178,0.590598272932569,"Control","Plin2"
"Zwint",5.4160603419189e-05,0.10284995525762,0.515,0.445,0.590675540889676,"Control","Zwint"
"Terf2",5.44440513933027e-05,0.0840853822881011,0.185,0.129,0.593766824495359,"Control","Terf2"
"Flii",5.46510437465213e-05,0.0900331953710826,0.24,0.178,0.596024283099561,"Control","Flii"
